id,ref,hyp,ref_norm,hyp_norm
1788,АҚШ-тың Гимнастика федерациясы АҚШ Олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды.,АҚШ-тың Димнастика федерациясы АҚШ Олимпиада комитетінің қанын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін бойындайды.,ақш тың гимнастика федерациясы ақш олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды,ақш тың димнастика федерациясы ақш олимпиада комитетінің қанын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін бойындайды
1749,Оны «вичи» француздар билеген. Бұл 1940 жылы немістермен бейбіт келісім жасасқан және  соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды.,"Она Вичи француздар билеген, бұл 1940 жылы немістермен бейбіт келісін жасасқан және соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды.",оны вичи француздар билеген бұл 1940 жылы немістермен бейбіт келісім жасасқан және соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды,она вичи француздар билеген бұл 1940 жылы немістермен бейбіт келісін жасасқан және соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды
1701,Ешкілер алғаш рет қол үйретілген уақыт Иранның Загрос тауларында шамамен 10 000 жыл бұрын деп саналады.,Ешкілер алғаш рет қол үйретілген уақыт Иранның загроз тауларында шамамен он мың жыл бұрын деп саналады.,ешкілер алғаш рет қол үйретілген уақыт иранның загрос тауларында шамамен 10 000 жыл бұрын деп саналады,ешкілер алғаш рет қол үйретілген уақыт иранның загроз тауларында шамамен он мың жыл бұрын деп саналады
1846,Сондықтан бұл пішімнің арақатынасы (ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу) 3:2 деп айтылады.,"Сондықтан бұл пішімнің арақатынаса, ең қарапайым бүдін санның қатынасын алу үшін 12-ге бөлу «үшті екі» деп аталады.",сондықтан бұл пішімнің арақатынасы ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу 3 2 деп айтылады,сондықтан бұл пішімнің арақатынаса ең қарапайым бүдін санның қатынасын алу үшін 12 ге бөлу үшті екі деп аталады
1975,Ватикан қаласы халқының саны — шамамен 800. Бұл — дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел.,Ватикан қаласы халықының саны шамамен 800. Бұл дүниежүзіндегі ең шағын тәуелсіз ел және халық саны ең әз ел.,ватикан қаласы халқының саны шамамен 800 бұл дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел,ватикан қаласы халықының саны шамамен 800 бұл дүниежүзіндегі ең шағын тәуелсіз ел және халық саны ең әз ел
1708,Хьюн қызметтен кетуді сұранды және оны кабинетте Эд Дэви МП ауыстырады. Норман Лэмб МП Дэви босатып жатқан Бизнес министрі жұмысын алады деп күтілуде.,Хюн қызметтен кетуді сұранды және оны кабинетте «EdDevi MP» ауыстырады. NormandLamp MPDV босатып жатқан бизнес-министері жұмысын «алады» деп күтілуде.,хьюн қызметтен кетуді сұранды және оны кабинетте эд дэви мп ауыстырады норман лэмб мп дэви босатып жатқан бизнес министрі жұмысын алады деп күтілуде,хюн қызметтен кетуді сұранды және оны кабинетте eddevi mp ауыстырады normandlamp mpdv босатып жатқан бизнес министері жұмысын алады деп күтілуде
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер сіз рамандық тілді білсеңіз, сізге португал тілің үйрені оңайырақ олатынын айтпая қойсады болады.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандық тілді білсеңіз сізге португал тілің үйрені оңайырақ олатынын айтпая қойсады болады
1956,Тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады.,Тауарларды тасымалдау үшін кеймелерді пайдалану әзірші адамдардық және тауарладың үлкен мөлшерлерін мұхиттарды жылжытудың ең тиімді жолы болып табылады.,тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады,тауарларды тасымалдау үшін кеймелерді пайдалану әзірші адамдардық және тауарладың үлкен мөлшерлерін мұхиттарды жылжытудың ең тиімді жолы болып табылады
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер сіз рамандық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпаяқ қойса да болады.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпаяқ қойса да болады
1965,"Олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік, және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген.","Олар қауіпсіз жүзуге арналған, құмды жақажайлардың барлығына дерлік және олардың көпшілігінде Похуту Кава ағаштарымен қамтамасыз етілген.",олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген,олар қауіпсіз жүзуге арналған құмды жақажайлардың барлығына дерлік және олардың көпшілігінде похуту кава ағаштарымен қамтамасыз етілген
1706,"Дәстүрлірек шіркеулер Пасха демалыс күндері сенбі түні пасхалық таңғы ғибадатты өткізеді, жиналыстар жиі түн ортасында Мәсіхтің қайта тірілуін мерекелеуге айналады.",Дәстүрлі рек шіркеулер Пасха демалыс күндері сенбі түні Пасхалық таңғы ғиғбадатты өткізеді. Женалыстар жиі түн ортасында мәсіхтің қайта түрлуін мерекелеуге айналады.,дәстүрлірек шіркеулер пасха демалыс күндері сенбі түні пасхалық таңғы ғибадатты өткізеді жиналыстар жиі түн ортасында мәсіхтің қайта тірілуін мерекелеуге айналады,дәстүрлі рек шіркеулер пасха демалыс күндері сенбі түні пасхалық таңғы ғиғбадатты өткізеді женалыстар жиі түн ортасында мәсіхтің қайта түрлуін мерекелеуге айналады
1886,"Ежелгі мәдениеттер мен тайпалар сүтке, жүнге, етке және терілерге оңай қол жеткізу үшін оларды өсіре бастады.","Ежелгі мәдениеттер мен тайпалар сүтке, жүнге, етке және терілерге оңай қолы жеткізу үшін оларды өсіре бастады.",ежелгі мәдениеттер мен тайпалар сүтке жүнге етке және терілерге оңай қол жеткізу үшін оларды өсіре бастады,ежелгі мәдениеттер мен тайпалар сүтке жүнге етке және терілерге оңай қолы жеткізу үшін оларды өсіре бастады
1859,Орта ғасырлардың соңына қарай Батыс Еуропа өз стилін дамыта бастады. Бұл уақыттағы кірескерлердің нәтижесіндегі ең үлкен дамуларының бірі болып адамдардың киімін жабу үшін түймелерді пайдалануы табылады.,"Ортаға сарлардың соңына қарай Баттс-Еуропа Уэстелін дамта бастады, бұл уақыттағы крес керлердің нәтиесіндегі ең үлкен дамуларының біріп олып адамдарды киімін жабу үшін түймелерді пайдалануы табылады.",орта ғасырлардың соңына қарай батыс еуропа өз стилін дамыта бастады бұл уақыттағы кірескерлердің нәтижесіндегі ең үлкен дамуларының бірі болып адамдардың киімін жабу үшін түймелерді пайдалануы табылады,ортаға сарлардың соңына қарай баттс еуропа уэстелін дамта бастады бұл уақыттағы крес керлердің нәтиесіндегі ең үлкен дамуларының біріп олып адамдарды киімін жабу үшін түймелерді пайдалануы табылады
1756,АҚШ президенті Дональд Трамп жексенбі күні кешкі баспасөз хатшысы арқылы жасаған мәлімдемесінде АҚШ қарушы күштерін Сириядан алып шығуы туралы мәлімдеді.,АҚШ президенті Дональд Транп жексенбі күні кешкі баспа-сөз хатшысы арқылы жасаған мәлімдемесінде АҚШ қарушы күштерін Сириядан алып шығуы туралы мәлімдеді.,ақш президенті дональд трамп жексенбі күні кешкі баспасөз хатшысы арқылы жасаған мәлімдемесінде ақш қарушы күштерін сириядан алып шығуы туралы мәлімдеді,ақш президенті дональд транп жексенбі күні кешкі баспа сөз хатшысы арқылы жасаған мәлімдемесінде ақш қарушы күштерін сириядан алып шығуы туралы мәлімдеді
1691,"Кейбір маршруттарда үлкенірек компаниялардың өз ұшақтары бар, бірақ басқа маршруттарда және кішірек фирмаларда мәселе болған.","Кейбір маршруттарда үлкенірек компаниялардың өз ұшақтары бар, бірақ басқа маршруттарда және кішірек фирмаларда мәселе болған.",кейбір маршруттарда үлкенірек компаниялардың өз ұшақтары бар бірақ басқа маршруттарда және кішірек фирмаларда мәселе болған,кейбір маршруттарда үлкенірек компаниялардың өз ұшақтары бар бірақ басқа маршруттарда және кішірек фирмаларда мәселе болған
1664,"Екі құрғақ ұнтақты араластырыңыз, содан кейін таза, ылғалды қолдармен оларды қысып, шарик жасаңыз.","Екі құрға ғынтақты араластырыңыз, содан кейін таза ұлғалды қолдармен оларды қысып, шарикдесаңыз.",екі құрғақ ұнтақты араластырыңыз содан кейін таза ылғалды қолдармен оларды қысып шарик жасаңыз,екі құрға ғынтақты араластырыңыз содан кейін таза ұлғалды қолдармен оларды қысып шарикдесаңыз
1899,Мұхаммед өзінің күнделікті өмірінен тыс мәселелерге қатты қызығатын. Ол ойлану үшін «Нұр» (жарық) тауындағы «Хира» ретінде белгілі болған үңгірге жиі баратын.,"Мохаммед өзінің күнделік төмірінен тос мәселілілерге қатты қызығатын, ол ойлану үшін Нор жарық таундағы хир аретінге белгілі болған үңгірге жиі баратын.",мұхаммед өзінің күнделікті өмірінен тыс мәселелерге қатты қызығатын ол ойлану үшін нұр жарық тауындағы хира ретінде белгілі болған үңгірге жиі баратын,мохаммед өзінің күнделік төмірінен тос мәселілілерге қатты қызығатын ол ойлану үшін нор жарық таундағы хир аретінге белгілі болған үңгірге жиі баратын
1692,"Жапонияның ядролық агенттігінің хабарлауынша, зауытта радиоактивті цезий мен йод анықталған.","Жапонияның ядролық агенттігінің қабарлауынша, заудыта радиоактивті Цези мен Юот анықталған.",жапонияның ядролық агенттігінің хабарлауынша зауытта радиоактивті цезий мен йод анықталған,жапонияның ядролық агенттігінің қабарлауынша заудыта радиоактивті цези мен юот анықталған
1746,Өсімдіктер күн сәулесінен фотосинтез арқылы қуат алады. Олар сонымен қатар көлеңе береді.,Өсімдіктер күн сәулесінен фотосинтіс арқылы қоат алады. Олар сонымен қатар көлеңе береді.,өсімдіктер күн сәулесінен фотосинтез арқылы қуат алады олар сонымен қатар көлеңе береді,өсімдіктер күн сәулесінен фотосинтіс арқылы қоат алады олар сонымен қатар көлеңе береді
1708,Хьюн қызметтен кетуді сұранды және оны кабинетте Эд Дэви МП ауыстырады. Норман Лэмб МП Дэви босатып жатқан Бизнес министрі жұмысын алады деп күтілуде.,Хиын қазметтен кетуді сұранды және оны кабинетте «этdevy.mp» ауыстырады. Normal Lamp.mp. «Devi» босатып жатқан бизнес-министрі жұмысын алады деп күтілуде.,хьюн қызметтен кетуді сұранды және оны кабинетте эд дэви мп ауыстырады норман лэмб мп дэви босатып жатқан бизнес министрі жұмысын алады деп күтілуде,хиын қазметтен кетуді сұранды және оны кабинетте этdevy mp ауыстырады normal lamp mp devi босатып жатқан бизнес министрі жұмысын алады деп күтілуде
1686,"Нәтижесінде, кедергіні  жеңу мақсатында бірлескен жұмысты ұйымдастыру процесі тапсырыс берушілердің қажеттіліктеріне қызмет ететін жаңа инновациялық процеске әкелуі мүмкін.",Нәтижесінде келдергіні жеңу мақсатында бірлескен жұмысты ұйымдастыру процесі тап сыры сперушілердің қажеттіліктеріне қызмететін жаңа инуациялық процеске әкелуі мүмкін.,нәтижесінде кедергіні жеңу мақсатында бірлескен жұмысты ұйымдастыру процесі тапсырыс берушілердің қажеттіліктеріне қызмет ететін жаңа инновациялық процеске әкелуі мүмкін,нәтижесінде келдергіні жеңу мақсатында бірлескен жұмысты ұйымдастыру процесі тап сыры сперушілердің қажеттіліктеріне қызмететін жаңа инуациялық процеске әкелуі мүмкін
1670,"""Олардың температуралық сипаттамалары жер бетіндегі тұрақты температураны сақтайтын үлкен үңгірлер сияқты тұрақты емес, бірақ бұл олардың жердегі терең үңгірлерге сәйкес келеді"", - деді Глен Кушинг, АҚШ геологиялық қызметі (USGS) астрогеология тобы және Аризона штатының Флагстафф қаласында орналасқан Солтүстік Аризона университетінің мүшесі Глен Кушинг.","Олардың температуралық сипаттамалары жәрбетіндегі тұрақты температураны сақтайтын үлкен үңгірлер сияқты тұрақтеймес, бірақ бұл ғалардың жердегі терең үңгірлерге сәйкес келеді, деді Гленг Кушинк, ағыш геологиялық қызметі U.S.G.S. астрология тобы және Оризонна штатының флаг-стаф қаласында орналасқан Солтүстік Оризонна университетінің мүшесі Гленг Кушинк.",олардың температуралық сипаттамалары жер бетіндегі тұрақты температураны сақтайтын үлкен үңгірлер сияқты тұрақты емес бірақ бұл олардың жердегі терең үңгірлерге сәйкес келеді деді глен кушинг ақш геологиялық қызметі usgs астрогеология тобы және аризона штатының флагстафф қаласында орналасқан солтүстік аризона университетінің мүшесі глен кушинг,олардың температуралық сипаттамалары жәрбетіндегі тұрақты температураны сақтайтын үлкен үңгірлер сияқты тұрақтеймес бірақ бұл ғалардың жердегі терең үңгірлерге сәйкес келеді деді гленг кушинк ағыш геологиялық қызметі u s g s астрология тобы және оризонна штатының флаг стаф қаласында орналасқан солтүстік оризонна университетінің мүшесі гленг кушинк
1844,Айдың беті тау жынысы мен шаңнан тұрады. Айдың сыртқы қабаты қабық деп аталады.,Айдың беті тау жұнысы мен шаңнан тұрады. Айдың сыртқы қабаты қабық деп аталады.,айдың беті тау жынысы мен шаңнан тұрады айдың сыртқы қабаты қабық деп аталады,айдың беті тау жұнысы мен шаңнан тұрады айдың сыртқы қабаты қабық деп аталады
1902,Алдымен ол Грейт-Ярмуттегі Джеймс Пейджет ауруханасына түсті.,"Алдымен, Ол Грейд Ярмуттегі Джеймс Пейджет ауруханнасына түсті.",алдымен ол грейт ярмуттегі джеймс пейджет ауруханасына түсті,алдымен ол грейд ярмуттегі джеймс пейджет ауруханнасына түсті
