id,ref,hyp,ref_norm,hyp_norm
5f5af4cf7bb2c,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,"Төтенше жағдайларды басқару агенттігінің дереңше, Танкер Лафиамо Корди жоғлы бойындағы жанар жағарма векекенде жарлыған.",төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,төтенше жағдайларды басқару агенттігінің дереңше танкер лафиамо корди жоғлы бойындағы жанар жағарма векекенде жарлыған
5f5af4dc52b1f,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,Мұндай нормы қалық денсаулықы және денсаулық сақты жүйесі туралы кодікстің жаңа редакциясына қарастырылған.,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,мұндай нормы қалық денсаулықы және денсаулық сақты жүйесі туралы кодікстің жаңа редакциясына қарастырылған
5f5af4f705da7,бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,"Бұл оның соңғы сайсы емес еді, осыдан кейін Мэриком 2014 жылы қайта чемпион атанады.",бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,бұл оның соңғы сайсы емес еді осыдан кейін мэриком 2014 жылы қайта чемпион атанады
5f5af4fe3e8a2,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,Нұр сұлтан әбіс жылын азарбайыв біздің жерлесіміз.,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,нұр сұлтан әбіс жылын азарбайыв біздің жерлесіміз
5f5af5084a3be,бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,"Бұл маған жұнбақ болып қалды, ақын керек дейтінде өбір сонша негез арбол деген.",бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,бұл маған жұнбақ болып қалды ақын керек дейтінде өбір сонша негез арбол деген
5f5af5155e0fb,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,Бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтерімен ұлттық компаниялардың жұршыларына қатысы жоқ.,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтерімен ұлттық компаниялардың жұршыларына қатысы жоқ
5f5af51dd15b0,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,"Жандардың кеудесін лаулатып тұрыпты, гүлім шоқ бір.",жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір
5f5af52759e2c,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,1998 жылы қазақстан журналистер отағының силіғін алды.,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,1998 жылы қазақстан журналистер отағының силіғін алды
5f5af54524454,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,"Корольдік әкімшілікті орталықтандырады, соттарды өзгертіп заңдардың жаңа коды кісінжасайды.",корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа коды кісінжасайды
5f5af5502428c,бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,"Бірақ қасықтап, қар шығарғанымен, борап жауып жатса, амал барма», – дейті жұмысшылар.",бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,бірақ қасықтап қар шығарғанымен борап жауып жатса амал барма дейті жұмысшылар
5f5af5562d869,атам солай деп айтты деп мақтанып қалды,Атан солай деп айтты деп мақтанып қалды.,атам солай деп айтты деп мақтанып қалды,атан солай деп айтты деп мақтанып қалды
5f5af56a03ebc,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,Қара ертіс ора баққан бұл қалаға әлкен кеше келген орын бордан.,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,қара ертіс ора баққан бұл қалаға әлкен кеше келген орын бордан
5f5af57ab7560,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз төрт мың италияда жүз сексен ал иранда жүз жетпіс қазақстандық жүр,Қазақстан Республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кариеды шамамен 34000 Италияда 180 алыйранда 107 піс қазақстандық жер.,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз төрт мың италияда жүз сексен ал иранда жүз жетпіс қазақстандық жүр,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кариеды шамамен 34000 италияда 180 алыйранда 107 піс қазақстандық жер
