id,ref,hyp,ref_norm,hyp_norm
1819,"В древнем Китае использовали уникальный способ обозначения периодов времени; каждый этап Китая или каждая семья, находившаяся у власти, были особой династией.","В древнем Китае использовали уникальный способ обозначения передов в времени. Каждый этап Китая или каждая семья, находившаяся у власти, были особые династия.",в древнем китае использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находившаяся у власти были особой династией,в древнем китае использовали уникальный способ обозначения передов в времени каждый этап китая или каждая семья находившаяся у власти были особые династия
1781,"Мадагаскар намного больше других и  является самобытным континентом в том, что касается дикой природы.","Модагаскар на много больше других и является самобытным континентом в том, что касается дикой природы.",мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,модагаскар на много больше других и является самобытным континентом в том что касается дикой природы
1926,"Во всех научных вопросах, включая психологию, были приняты взгляды Аристотеля.","Во всех научных вопросах, включая психологию, были приняты взгляды ристотели.",во всех научных вопросах включая психологию были приняты взгляды аристотеля,во всех научных вопросах включая психологию были приняты взгляды ристотели
1917,"В различных местах Рима были установлены большие телевизионные экраны, с помощью которых люди могли наблюдать за церемонией.","В различных местах Рима были установлены большие телевизионные экраны, с помощью которых люди могли наблюдать за церемонией.",в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией,в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией
1751,"Причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана Катрина, который некоторые фискальные консерваторы в шутку назвали ""новоорлеанской сделкой Буша"".","Причиня дебата встали разногласия относительно затратно оказания материальные поддержки и восстановления зданий после ураганка Трина, которые некоторые фискальные консерваторы в шутку назвали «новарлеанское сделкой буша».",причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана катрина который некоторые фискальные консерваторы в шутку назвали новоорлеанской сделкой буша,причиня дебата встали разногласия относительно затратно оказания материальные поддержки и восстановления зданий после ураганка трина которые некоторые фискальные консерваторы в шутку назвали новарлеанское сделкой буша
1704,"В 1990 году он был добавлен в список всемирного наследия, находящегося под угрозой из-за опасности со стороны песков пустыни.","В 1990-м году он был добавлен в список всемирного наследия, находящегося под уроза из опасности со стороны пескупусты ини.",в 1990 году он был добавлен в список всемирного наследия находящегося под угрозой из за опасности со стороны песков пустыни,в 1990 м году он был добавлен в список всемирного наследия находящегося под уроза из опасности со стороны пескупусты ини
1692,"Согласно ядерному управлению Японии, на заводе были обнаружены радиоактивный цезий и йод.",Согласно ядерному управлению Японии на заводе бульабноружены радиоактивный цизи Иуд.,согласно ядерному управлению японии на заводе были обнаружены радиоактивный цезий и йод,согласно ядерному управлению японии на заводе бульабноружены радиоактивный цизи иуд
1852,"Надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными. Путём активного отклика на интернет-материалы учащиеся могут определять свою позицию в контексте чужих работ, а также излагать свои собственные взгляды на конкретные вопросы (Оравек, 2002).","Надлежащие использования блогов может дать учащимся возможность стать более аналитичными и критичными. Путем активного отклика на интернет материалы, учащиеся могут определять свою позицию в контексте чужих работ, а также излогать свои собственные взгляды на конкретные вопросы.",надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернет материалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы оравек 2002,надлежащие использования блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернет материалы учащиеся могут определять свою позицию в контексте чужих работ а также излогать свои собственные взгляды на конкретные вопросы
1757,"Только мутации в клетках зародышевой линии могут передаваться далее детям, в то время как мутации где-то ещё могут привести к гибели клеток или раку.","Только мутаций в клетках зародышевые линии могут передаваться далее детям, в то время как мутация где-то еще могут привести гибли клеток или раку.",только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации где то еще могут привести к гибели клеток или раку,только мутаций в клетках зародышевые линии могут передаваться далее детям в то время как мутация где то еще могут привести гибли клеток или раку
1791,"Не оскверняйте это место, нанося или выцарапывая граффити на объекты вокруг.",Не оскверняйте это место нася или в царапе граффити на объекты вокруг.,не оскверняйте это место нанося или выцарапывая граффити на объекты вокруг,не оскверняйте это место нася или в царапе граффити на объекты вокруг
1903,"Когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации, то могут проявиться креативность и изобретательность.","Когда все доступные ресурсы эффективно используются во всех функционалях подразделениях организаций, то могут появиться креативность и изобретательность.",когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации то могут проявиться креативность и изобретательность,когда все доступные ресурсы эффективно используются во всех функционалях подразделениях организаций то могут появиться креативность и изобретательность
1725,"Серия ASUS Eee PC, ранее представленная во всём мире с ориентацией на такие факторы, как экономия средств и функциональность, стала горячей темой во время месяца информационных технологий в Тайбэе в 2007 году.","Серия ASUS и PC ранее представленная во всем мире с ориентацией на такие факторы, как экономия, средств и функциональность, стало горячей темой во время месяца информационных технологий в Тайбе в 2007 году.",серия asus eee pc ранее представленная во всем мире с ориентацией на такие факторы как экономия средств и функциональность стала горячей темой во время месяца информационных технологий в тайбэе в 2007 году,серия asus и pc ранее представленная во всем мире с ориентацией на такие факторы как экономия средств и функциональность стало горячей темой во время месяца информационных технологий в тайбе в 2007 году
1762,"Переносчиками являются свиньи, от которых через комаров болезнь затем передаётся человеку.","Переношика меня является свини, от которых через комморог болезнь затем предается человеку.",переносчиками являются свиньи от которых через комаров болезнь затем передается человеку,переношика меня является свини от которых через комморог болезнь затем предается человеку
1668,"Также может быть выгодно купить Wild Card, которая позволяет посещать национальные парки ЮАР либо выборочно, либо все.","Также может быть выгодно купить вилткарт, которая позволяет посещать национальные парки Юарь, либо выброшены, либо все.",также может быть выгодно купить wild card которая позволяет посещать национальные парки юар либо выборочно либо все,также может быть выгодно купить вилткарт которая позволяет посещать национальные парки юарь либо выброшены либо все
