id,ref,hyp,ref_norm,hyp_norm
1819,"В древнем Китае использовали уникальный способ обозначения периодов времени; каждый этап Китая или каждая семья, находившаяся у власти, были особой династией.",В древнем Китай использовали уникальный способ обозначения передовы времени. Каждый тап Китай или каждая семья нахади в шессе у власти былясобы династий.,в древнем китае использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находившаяся у власти были особой династией,в древнем китай использовали уникальный способ обозначения передовы времени каждый тап китай или каждая семья нахади в шессе у власти былясобы династий
1781,"Мадагаскар намного больше других и  является самобытным континентом в том, что касается дикой природы.","Модогаскары намного больше други и являйцы самобытным континентом, в том, что касается дикой природы.",мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,модогаскары намного больше други и являйцы самобытным континентом в том что касается дикой природы
1926,"Во всех научных вопросах, включая психологию, были приняты взгляды Аристотеля.","Ва сих научных в апросах, включай психология, был и принятый взглядарис тостилі.",во всех научных вопросах включая психологию были приняты взгляды аристотеля,ва сих научных в апросах включай психология был и принятый взглядарис тостилі
1917,"В различных местах Рима были установлены большие телевизионные экраны, с помощью которых люди могли наблюдать за церемонией.","В различных местах Рима билу-станавливаны большие телевизионы и экраны, с помощью которых люди могли наблюдай за церемония.",в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией,в различных местах рима билу станавливаны большие телевизионы и экраны с помощью которых люди могли наблюдай за церемония
1751,"Причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана Катрина, который некоторые фискальные консерваторы в шутку назвали ""новоорлеанской сделкой Буша"".","Причина дебаты встали різна гласия атынасительно затратна, оказания материалней поддержки и восстановления зданий послеураганна катрина, который некоторые фескальные консерваторы в шутку называли новарлиянске изделкай бушы.",причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана катрина который некоторые фискальные консерваторы в шутку назвали новоорлеанской сделкой буша,причина дебаты встали різна гласия атынасительно затратна оказания материалней поддержки и восстановления зданий послеураганна катрина который некоторые фескальные консерваторы в шутку называли новарлиянске изделкай бушы
1704,"В 1990 году он был добавлен в список всемирного наследия, находящегося под угрозой из-за опасности со стороны песков пустыни.","В 1990-м, он был допаулен в списк всемернауына следе нахудеяши сападоуроза из-за опасность с сыстарыны пискул пустыни.",в 1990 году он был добавлен в список всемирного наследия находящегося под угрозой из за опасности со стороны песков пустыни,в 1990 м он был допаулен в списк всемернауына следе нахудеяши сападоуроза из за опасность с сыстарыны пискул пустыни
1692,"Согласно ядерному управлению Японии, на заводе были обнаружены радиоактивный цезий и йод.",Соклассно ядерным управлению Япония на заводе булябнару жены радиоактивный цези и еуд.,согласно ядерному управлению японии на заводе были обнаружены радиоактивный цезий и йод,соклассно ядерным управлению япония на заводе булябнару жены радиоактивный цези и еуд
1852,"Надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными. Путём активного отклика на интернет-материалы учащиеся могут определять свою позицию в контексте чужих работ, а также излагать свои собственные взгляды на конкретные вопросы (Оравек, 2002).","На длежаше использование блогов можек дать учашемся вазможность тади более аналитичным и критичныме, путем активного отклика на интернет материал и учашеся мугод определять свою позицию в контекстичу же хработ, а также излогальцевай собстовый мгляды на конкретные в апросы Аравик 2002.",надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернет материалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы оравек 2002,на длежаше использование блогов можек дать учашемся вазможность тади более аналитичным и критичныме путем активного отклика на интернет материал и учашеся мугод определять свою позицию в контекстичу же хработ а также излогальцевай собстовый мгляды на конкретные в апросы аравик 2002
1757,"Только мутации в клетках зародышевой линии могут передаваться далее детям, в то время как мутации где-то ещё могут привести к гибели клеток или раку.","Толка мутаций в клетках заруды швейлини мгут передаласы датям, в тобремекакак мутация где ты еще мгут привести гибли клеток и лираку.",только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации где то еще могут привести к гибели клеток или раку,толка мутаций в клетках заруды швейлини мгут передаласы датям в тобремекакак мутация где ты еще мгут привести гибли клеток и лираку
1791,"Не оскверняйте это место, нанося или выцарапывая граффити на объекты вокруг.",Не оскверняй дейтамесом на сяй эллигуцерапоиграфи тене объекты вакруг.,не оскверняйте это место нанося или выцарапывая граффити на объекты вокруг,не оскверняй дейтамесом на сяй эллигуцерапоиграфи тене объекты вакруг
1903,"Когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации, то могут проявиться креативность и изобретательность.","Когда все доступной ресурсы эффективно используются ва всех функционалях педрозделениях организаций, то могут появица креативность и изабритательность.",когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации то могут проявиться креативность и изобретательность,когда все доступной ресурсы эффективно используются ва всех функционалях педрозделениях организаций то могут появица креативность и изабритательность
1725,"Серия ASUS Eee PC, ранее представленная во всём мире с ориентацией на такие факторы, как экономия средств и функциональность, стала горячей темой во время месяца информационных технологий в Тайбэе в 2007 году.","Серия ASUS EPC ранее представлендово все мире сориентацийны таки факторы как экономия, срец и функциональность, сталы горячей темы вовремя месцеп информационных технологии в Тайбе 2007 маунгаду.",серия asus eee pc ранее представленная во всем мире с ориентацией на такие факторы как экономия средств и функциональность стала горячей темой во время месяца информационных технологий в тайбэе в 2007 году,серия asus epc ранее представлендово все мире сориентацийны таки факторы как экономия срец и функциональность сталы горячей темы вовремя месцеп информационных технологии в тайбе 2007 маунгаду
1762,"Переносчиками являются свиньи, от которых через комаров болезнь затем передаётся человеку.","Переношка меявляция свини, откоторых через комырок болезь датем передаятся человеку.",переносчиками являются свиньи от которых через комаров болезнь затем передается человеку,переношка меявляция свини откоторых через комырок болезь датем передаятся человеку
1668,"Также может быть выгодно купить Wild Card, которая позволяет посещать национальные парки ЮАР либо выборочно, либо все.","Так же мұжетбіт выгоден купить Уилт-Карт, которые позволяет поссещать национальные парки ИОР либо выборушыну либо все.",также может быть выгодно купить wild card которая позволяет посещать национальные парки юар либо выборочно либо все,так же мұжетбіт выгоден купить уилт карт которые позволяет поссещать национальные парки иор либо выборушыну либо все
1757,"Только мутации в клетках зародышевой линии могут передаваться далее детям, в то время как мутации где-то ещё могут привести к гибели клеток или раку.","Толка мутаций в клетках зародышевой линией мугут передовывация дали детем, в то время к мутация гетто еще мугут привести гибли клеток и лираку.",только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации где то еще могут привести к гибели клеток или раку,толка мутаций в клетках зародышевой линией мугут передовывация дали детем в то время к мутация гетто еще мугут привести гибли клеток и лираку
1780,"Энергия кундалини (энергия просветления) в кундалини-йоге пробуждается через позы йоги, дыхательные упражнения, мантры и визуализации.","Энергия кундалини — энергия просветленя. Кундалиниь йоги бұрбуждайся через позиции йоги, дыхательный упражнение, мантр и визуализация.",энергия кундалини энергия просветления в кундалини йоге пробуждается через позы йоги дыхательные упражнения мантры и визуализации,энергия кундалини энергия просветленя кундалиниь йоги бұрбуждайся через позиции йоги дыхательный упражнение мантр и визуализация
1822,"Султан Марокко перестроил город под названием Эд-Дар-эль-Бейда, а испанские торговцы, создавшие тут торговые базы, назвали его Касабланка.","Султан Мрокко — Перестроил город б нызванем Эддар Эльбейда, а испанске тарговцы сыдап шеду тарговый базы нызвалево Касабланка.",султан марокко перестроил город под названием эд дар эль бейда а испанские торговцы создавшие тут торговые базы назвали его касабланка,султан мрокко перестроил город б нызванем эддар эльбейда а испанске тарговцы сыдап шеду тарговый базы нызвалево касабланка
1763,"Так же, как Луна притягивает Землю, при этом вызывая приливы, так и Млечный Путь воздействует на галактику в Стрельце.","Так же как луна притяги вәдземлю, претім вызовай приливы так и млечты путь воздействудно галактику стрельцы.",так же как луна притягивает землю при этом вызывая приливы так и млечный путь воздействует на галактику в стрельце,так же как луна притяги вәдземлю претім вызовай приливы так и млечты путь воздействудно галактику стрельцы
1884,"В частности, утверждается, что можно определить, лжет ли человек, при помощи правильной интерпретации его микровыражений.","Часы настигтого жидайся, штум можно определить, лжотл ли человек при помощи правильной интерпретация его микробыражений.",в частности утверждается что можно определить лжет ли человек при помощи правильной интерпретации его микровыражений,часы настигтого жидайся штум можно определить лжотл ли человек при помощи правильной интерпретация его микробыражений
1722,53-летний Куомо начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце.,"53-х летний Кома начал свою дейтленность на посту губернаторы, началятого года и подписал закона проект лигализация на полых браков в прошлом месяце.",53 летний куомо начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце,53 х летний кома начал свою дейтленность на посту губернаторы началятого года и подписал закона проект лигализация на полых браков в прошлом месяце
1768,"Большинство зданий по краям комплекса было перестроено, чтобы дать туристам более точное представление о том, как они выглядели изначально.","Большинство здания по краям комплекса было перестрояны, чтобы дать туристам более точные представлене, отом как они выгодили изначально.",большинство зданий по краям комплекса было перестроено чтобы дать туристам более точное представление о том как они выглядели изначально,большинство здания по краям комплекса было перестрояны чтобы дать туристам более точные представлене отом как они выгодили изначально
1891,Лаккха Сингх исполнил чхаппан бхог бхаджан.  Певец Раджу Кханделвал пел вместе с ним.,Лакхасинг исполнил Чхаппанпхо пхаджан бюцераджо Ханбилвалл белместесним.,лаккха сингх исполнил чхаппан бхог бхаджан певец раджу кханделвал пел вместе с ним,лакхасинг исполнил чхаппанпхо пхаджан бюцераджо ханбилвалл белместесним
1962,Показатель pH определяется степенью насыщенности ионами водорода (H в pH) исследуемого химического соединения.,Показатель пиаш определяется степень нюнасышнесте ионами водорода аш в пиаш исследуемого химического седенения.,показатель ph определяется степенью насыщенности ионами водорода h в ph исследуемого химического соединения,показатель пиаш определяется степень нюнасышнесте ионами водорода аш в пиаш исследуемого химического седенения
1861,"В результате актёры курят косяки с марихуаной на сцене, и сам театр поощряет публику присоединиться.",В результате актеры куретка секейсмарихуанене сене Исам театр паширай от бублику присоединиция.,в результате актеры курят косяки с марихуаной на сцене и сам театр поощряет публику присоединиться,в результате актеры куретка секейсмарихуанене сене исам театр паширай от бублику присоединиция
1715,"Обычные объявления в метро делаются только на каталонском языке, но незапланированные перебои объявляются автоматизированной системой на самых разных языках, включая испанский, английский, французский, арабский и японский.","Убычный объявления в метро делался только на каталуынска месики, но мезапленированный перебой объявляются автоматизированной системой на самых разных языках, включая испанский, англейски, французки, арабский и японски.",обычные объявления в метро делаются только на каталонском языке но незапланированные перебои объявляются автоматизированной системой на самых разных языках включая испанский английский французский арабский и японский,убычный объявления в метро делался только на каталуынска месики но мезапленированный перебой объявляются автоматизированной системой на самых разных языках включая испанский англейски французки арабский и японски
1882,"Учёные надеются понять, как образуются планеты, особенно то, как образовалась Земля, поскольку кометы сталкивались  с Землёй очень давно.","Учене инадейвы понятик — кака бразуется планеты, суббинато — кака бразовал с земля, поскольку комент и сталкивал с землей очень дыно.",ученые надеются понять как образуются планеты особенно то как образовалась земля поскольку кометы сталкивались с землей очень давно,учене инадейвы понятик кака бразуется планеты суббинато кака бразовал с земля поскольку комент и сталкивал с землей очень дыно
1885,Между 10:00 и 11:00 вечера по горному времени заключенные устроили пожар во дворе.,"Мержда 10 и 1 истюб вечері, пагарныма уремене, заключен и устроилипы жар во дворе.",между 10 00 и 11 00 вечера по горному времени заключенные устроили пожар во дворе,мержда 10 и 1 истюб вечері пагарныма уремене заключен и устроилипы жар во дворе
1729,"Например, ежегодно учащиеся школы Беннет в Северной Каролине создают сайт о своём посещении столицы штата, и каждый год этот сайт обновляется, но доступ к старым версиям по-прежнему сохраняется — они служат памятным альбомом.","Например, ежагодного чаще сешколы Бэнет северникорлиния создают сайта свенпосещения столица штаты и каждый год оттсайт апновляется, но доступ к старым версиям попрежинам усохраняется, а не служат памятыным льбомын.",например ежегодно учащиеся школы беннет в северной каролине создают сайт о своем посещении столицы штата и каждый год этот сайт обновляется но доступ к старым версиям по прежнему сохраняется они служат памятным альбомом,например ежагодного чаще сешколы бэнет северникорлиния создают сайта свенпосещения столица штаты и каждый год оттсайт апновляется но доступ к старым версиям попрежинам усохраняется а не служат памятыным льбомын
1663,Долина Кочамо – главное направление в Чили для альпинизма. Она известна как Йосмит Южной Америки и имеет большое количество больших гранитных стен и скал.,"Далинокачамы – главный направлене в Челли для альбинизм, она извесны как Иосмит Южная Америки и имейд большой калличиствы больших гранитник стеныскал.",долина кочамо главное направление в чили для альпинизма она известна как йосмит южной америки и имеет большое количество больших гранитных стен и скал,далинокачамы главный направлене в челли для альбинизм она извесны как иосмит южная америки и имейд большой калличиствы больших гранитник стеныскал
