id,ref,hyp,ref_norm,hyp_norm
1788,АҚШ-тың Гимнастика федерациясы АҚШ Олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды.,АҚШ-тың димнастика федерациясы АҚШ Олимпиада комитетінің қанын қолдайды және біздің барлық спортсмендер үшін қоршаған ортанын қауіпсіздігін арттырудың абсолютноты қажеттілігін бойындайды.,ақш тың гимнастика федерациясы ақш олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды,ақш тың димнастика федерациясы ақш олимпиада комитетінің қанын қолдайды және біздің барлық спортсмендер үшін қоршаған ортанын қауіпсіздігін арттырудың абсолютноты қажеттілігін бойындайды
1749,Оны «вичи» француздар билеген. Бұл 1940 жылы немістермен бейбіт келісім жасасқан және  соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды.,Она Вичи француздар билеген. Бұл 1900-40 жылы немістермен бейбіт келісін жасасқан және соғысудың орнына жаулаусылар мен бірге жұмыс істеген француздар болды.,оны вичи француздар билеген бұл 1940 жылы немістермен бейбіт келісім жасасқан және соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды,она вичи француздар билеген бұл 1900 40 жылы немістермен бейбіт келісін жасасқан және соғысудың орнына жаулаусылар мен бірге жұмыс істеген француздар болды
1701,Ешкілер алғаш рет қол үйретілген уақыт Иранның Загрос тауларында шамамен 10 000 жыл бұрын деп саналады.,Ешкілер алға шүрет қол үйретілген уақыт Иранның зағырос тауларында шамамен он мың жыл бұрын деп саналады.,ешкілер алғаш рет қол үйретілген уақыт иранның загрос тауларында шамамен 10 000 жыл бұрын деп саналады,ешкілер алға шүрет қол үйретілген уақыт иранның зағырос тауларында шамамен он мың жыл бұрын деп саналады
1846,Сондықтан бұл пішімнің арақатынасы (ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу) 3:2 деп айтылады.,"Сондықтан, бұл пішімнің арақадынаса, ең қарапайым бүтін санының қатынасын алу үшін 12 ке бөлі, 3-2 деп аталады.",сондықтан бұл пішімнің арақатынасы ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу 3 2 деп айтылады,сондықтан бұл пішімнің арақадынаса ең қарапайым бүтін санының қатынасын алу үшін 12 ке бөлі 3 2 деп аталады
1975,Ватикан қаласы халқының саны — шамамен 800. Бұл — дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел.,Ватикан қаласы халқының саны шамамен 800. Бұл дүниежүзіндегі ең шағын тәуелсіз ел және халық сана ең ұаз ел.,ватикан қаласы халқының саны шамамен 800 бұл дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел,ватикан қаласы халқының саны шамамен 800 бұл дүниежүзіндегі ең шағын тәуелсіз ел және халық сана ең ұаз ел
1708,Хьюн қызметтен кетуді сұранды және оны кабинетте Эд Дэви МП ауыстырады. Норман Лэмб МП Дэви босатып жатқан Бизнес министрі жұмысын алады деп күтілуде.,HueN Қызметтен кетуді сұранды және оны кабинетте EDDeVee MP ауыстырады. NormandLamp MP DeVee босатып жатқан бизнес-министрі жұмысын алады деп күтілуі.,хьюн қызметтен кетуді сұранды және оны кабинетте эд дэви мп ауыстырады норман лэмб мп дэви босатып жатқан бизнес министрі жұмысын алады деп күтілуде,huen қызметтен кетуді сұранды және оны кабинетте eddevee mp ауыстырады normandlamp mp devee босатып жатқан бизнес министрі жұмысын алады деп күтілуі
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер сіз рамандық тілді білсеңіз, сізге португал тілін өрені оңайырақ болатынын айтпаяқ қойсады болады.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандық тілді білсеңіз сізге португал тілін өрені оңайырақ болатынын айтпаяқ қойсады болады
1956,Тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады.,Тауарларды тасымалдау үшін кейі мелерді пайдалану әзірше адамдардық және тауарладың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады.,тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады,тауарларды тасымалдау үшін кейі мелерді пайдалану әзірше адамдардық және тауарладың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер сіз рамандық тілді білсеңіз, сізге Португал тілін үйрену оңаярақ болатынын айтпаяқ қойса да болады.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандық тілді білсеңіз сізге португал тілін үйрену оңаярақ болатынын айтпаяқ қойса да болады
1965,"Олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік, және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген.","Олар қауіпсіз жүзуге арналған, құмды жағажайлардың барлығын адерлік және олардың көпшілігінде Похотокава ағаштарымен қамтамасыз етілген.",олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген,олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығын адерлік және олардың көпшілігінде похотокава ағаштарымен қамтамасыз етілген
